,ID,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,ResultIndex,0,1
0,1,0.00663328834907114,-0.0160469462937379,0.375469223292088,-0.0119532555585144,-0.361396806865332,0.0222556015098492,-0.333251087230136,-0.00993584400737291,1.19339256398806,0.259079045725222,-0.0164998531431363,-0.191949445080702,-0.0111632560957559,0,0.61,0.39
1,2,0.00706796699948439,-0.0185210559094227,0.1167589935325,-0.0113741451446972,-0.232415607301714,-0.0599801678871565,-0.243896833917847,-0.00971353342475144,-0.468250173588018,0.445361524760924,-0.000996984641342119,-0.148673522209591,-0.00962377528970475,1,0.75,0.25
2,3,0.00613775981572655,-0.0160469462937379,-0.757936523045372,-0.0155169516879773,-0.687838392650546,-0.45922057192156,-0.681644603343827,-0.0101051099474571,-1.27987716207706,-0.320109179899478,-0.116843099521086,-0.204495096419799,-0.0068166082497468,2,0.76,0.24
3,4,0.00741065638423961,0.0253319449759913,-0.366549777121775,-0.01181177869778,-0.0536892734131886,0.0601324656135087,-0.0828335905273415,-0.00997157836419456,0.463267867230134,-0.583648210512744,0.00698918951590006,-0.0913485537515114,-0.00979120294914113,3,1.0,0.0
4,5,0.00817326473893609,-0.000894421248137924,-0.332886926268255,-0.0101827671179429,-0.305759277409391,-0.278317263839578,-0.30037094698311,-0.00995241144239199,0.813048535909512,-0.640521334806405,0.03218341152515,0.137675945886891,-0.0102545204442097,4,1.0,0.0
5,6,-0.00353866525681735,-0.0160469462937379,5.04140965439683,-0.0125902931429971,-0.388933257821669,-0.158195399584054,-0.384097875540715,-0.00978783321403474,0.79547829548197,2.40803791785809,-0.0125576562426847,-0.122550186516356,-0.00934661091598318,5,0.93,0.07
6,7,0.00744055569273838,0.00351223741718328,-0.274358449584268,-0.00955510755989647,0.356968682094954,0.331465376488763,0.298100139571424,-0.00992566292946477,2.74252670319618,-0.502288551423211,0.0635948364279485,-0.026283337680621,-0.0109892194497628,6,1.0,0.0
7,8,0.0074064466585712,0.067291718040987,0.27852021283395,-0.00996686513340194,0.282741876599088,0.148060533840065,0.354203423987284,-0.00923256458474059,-0.520517947632973,0.815549895857763,0.0223630406645886,-0.0889024370379758,-0.0101687413061926,7,1.0,0.0
8,9,0.00722010918906221,0.0346394586647604,-0.349853003098429,-0.0116582048741978,-0.203228706603515,0.0860298611893928,-0.236047627505493,-0.00996613161017729,0.49368357755008,-0.604362961980748,0.0140844271736402,-0.14264009842935,-0.010025821971904,8,1.0,0.0
9,10,0.00667367234530886,0.00312796176800702,-0.381271663895048,-0.0103608804947306,-0.16435627189386,0.120501602389609,-0.137345401989516,-0.00997733717438288,0.807290221819813,-0.654330703120962,-0.000850764974489004,-0.168751029879615,-0.009577237009368,9,1.0,0.0
10,11,0.00775331779739571,-0.103489763928095,-0.578401318493263,-0.0178137617006816,-1.7638737138276,0.277014179216537,-1.99972413525773,-0.0100932017662123,-0.207797197838578,-1.03773359679255,-0.207542298754386,0.00673675710351566,-0.00587345079321786,10,0.99,0.01
11,12,0.00743463387210681,0.0251733195626686,-0.36484419267853,-0.0119736936652687,0.0832980551613943,-0.0323904672538383,0.0257264965852538,-0.0099724865654094,0.417496652670991,-0.543833388727102,0.00566461135734832,-0.0989895674205678,-0.00981584896150882,11,1.0,0.0
12,13,0.00697257219163281,0.0253185400114852,-0.26816448502722,-0.0080539320750682,-0.067385110744784,0.0283786688994741,-0.109919533127452,-0.00988594445926413,0.105809446431156,-0.574099922844347,0.113739581001693,-0.159864630216446,-0.0110616429274466,12,1.0,0.0
13,14,0.00727292889207789,0.0829040333691479,0.732564745146231,-0.0120597318734091,-0.311101522626472,0.0959683072539599,-0.279573640229117,-0.00918914167414446,-0.744058653576654,0.901491474835022,-0.0146072402493832,-0.121617387445069,-0.00950508890612403,13,0.89,0.11
14,15,0.00712833903426401,0.0217483511313476,-0.355239059234993,-0.0118054652352651,-0.246762937952465,-0.10670830026091,-0.259085357349626,-0.00996435004420696,0.228505831265501,-0.59919388531107,0.0167536528567823,-0.157455726231819,-0.00995023168816171,14,1.0,0.0
15,16,0.00743553828714521,-0.0253712161881397,-0.383336318747397,-0.0121490420219769,-0.305744799780076,0.112132384651027,-0.303028552303828,-0.00997960399751231,0.287713112033941,-0.638323690851103,-0.00406616411911191,-0.0824869625742811,-0.00954749656986285,15,1.0,0.0
16,17,0.00802644880802512,-0.0293424369230862,-1.00993213615471,-0.0118547056345142,-0.365798006176966,0.394255022316708,-0.353971138015503,-0.00995390205032861,-0.532182224891594,0.278196590947085,0.0150241035620933,0.0275510768059129,-0.00938998239026152,16,0.89,0.11
17,18,0.00798533055731035,-0.00878234919570587,-0.270229139879569,-0.0101401397250506,0.291269200265377,0.39225502543065,0.761867719230482,-0.00993315031495288,-0.231421050514264,-0.504008081998925,0.0536963383924509,0.084511360520697,-0.0110380984128384,17,1.0,0.0
18,19,0.00617074299302893,-0.0843631137385725,-0.409350969886998,-0.025727940423229,-0.970239030060799,-0.11879033273156,-1.0121147347364,-0.00996418763761479,0.0398103080184582,-0.664928533537096,0.0191325894954367,-0.196181772781809,-0.00915040662758118,18,1.0,0.0
19,20,0.00669686546291725,-0.0272952754269222,-0.386747487633888,-0.0112398112525015,-0.241203528295666,0.368573011020861,-0.204975276924305,-0.00998395266707856,0.56854166071616,-0.663178247129947,-0.0102783496711509,-0.196906180571213,-0.00949600154960857,19,1.0,0.0
